Date,Cases
1/22/2020,1.0
1/23/2020,0.0
1/24/2020,1.0
1/25/2020,0.0
1/26/2020,3.0
1/27/2020,0.0
1/28/2020,0.0
1/29/2020,0.0
1/30/2020,0.0
1/31/2020,2.0
2/01/2020,1.0
2/02/2020,0.0
2/03/2020,3.0
2/04/2020,0.0
2/05/2020,0.0
2/06/2020,0.0
2/07/2020,0.0
2/08/2020,0.0
2/09/2020,0.0
2/10/2020,0.0
2/11/2020,1.0
2/12/2020,0.0
2/13/2020,1.0
2/14/2020,0.0
2/15/2020,0.0
2/16/2020,0.0
2/17/2020,0.0
2/18/2020,0.0
2/19/2020,0.0
2/20/2020,0.0
2/21/2020,2.0
2/22/2020,0.0
2/23/2020,0.0
2/24/2020,0.0
2/25/2020,0.0
2/26/2020,0.0
2/27/2020,1.0
2/28/2020,0.0
2/29/2020,8.0
3/01/2020,6.0
3/02/2020,23.0
3/03/2020,25.0
3/04/2020,20.0
3/05/2020,66.0
3/06/2020,47.0
3/07/2020,64.0
3/08/2020,147.0
3/09/2020,225.0
3/10/2020,290.0
3/11/2020,278.0
3/12/2020,414.0
3/13/2020,267.0
3/14/2020,338.0
3/15/2020,1237.0
3/16/2020,755.0
3/17/2020,2797.0
3/18/2020,3419.0
3/19/2020,4777.0
3/20/2020,3528.0
3/21/2020,5836.0
3/22/2020,8821.0
3/23/2020,10934.0
3/24/2020,10115.0
3/25/2020,13987.0
3/26/2020,16916.0
3/27/2020,17965.0
3/28/2020,19332.0
3/29/2020,18251.0
3/30/2020,22635.0
3/31/2020,22562.0
4/01/2020,27043.0
4/02/2020,26135.0
4/03/2020,34864.0
4/04/2020,30683.0
4/05/2020,26065.0
4/06/2020,43438.0
4/07/2020,21597.0
4/08/2020,31534.0
4/09/2020,31705.0
4/10/2020,33251.0
4/11/2020,33288.0
4/12/2020,29145.0
4/13/2020,24156.0
4/14/2020,26385.0
4/15/2020,27158.0
4/16/2020,29164.0
4/17/2020,29002.0
4/18/2020,29916.0
4/19/2020,25995.0
4/20/2020,29468.0
4/21/2020,26490.0
4/22/2020,25858.0
4/23/2020,37144.0
4/24/2020,29873.0
4/25/2020,33161.0
4/26/2020,29256.0
4/27/2020,23371.0
4/28/2020,23901.0
4/29/2020,25512.0
4/30/2020,31787.0
5/01/2020,30369.0
5/02/2020,29794.0
5/03/2020,29763.0
5/04/2020,19138.0
5/05/2020,22303.0
5/06/2020,23366.0
5/07/2020,30861.0
5/08/2020,25996.0
5/09/2020,26660.0
5/10/2020,23792.0
5/11/2020,18106.0
5/12/2020,21467.0
5/13/2020,20869.0
5/14/2020,27191.0
5/15/2020,22977.0
5/16/2020,31967.0
5/17/2020,13284.0
5/18/2020,24481.0
5/19/2020,23405.0
5/20/2020,22860.0
5/21/2020,20522.0
5/22/2020,24268.0
5/23/2020,26229.0
5/24/2020,15342.0
5/25/2020,24958.0
5/26/2020,16429.0
5/27/2020,19680.0
5/28/2020,21304.0
5/29/2020,18123.0
5/30/2020,23553.0
5/31/2020,26177.0
6/01/2020,14790.0
6/02/2020,24955.0
6/03/2020,14676.0
6/04/2020,20555.0
6/05/2020,29034.0
6/06/2020,29214.0
6/07/2020,17919.0
6/08/2020,17598.0
6/09/2020,17376.0
6/10/2020,20486.0
6/11/2020,21744.0
6/12/2020,22317.0
6/13/2020,25468.0
6/14/2020,21957.0
6/15/2020,18577.0
6/16/2020,28392.0
6/17/2020,22834.0
6/18/2020,27828.0
6/19/2020,32218.0
6/20/2020,32411.0
6/21/2020,27616.0
6/22/2020,26657.0
6/23/2020,34313.0
6/24/2020,37667.0
